GKA,Goroka,Goroka,Papua New Guinea,6313
MAG,Madang,Madang,Papua New Guinea,1754
HGU,Mount Hagen,Mount Hagen,Papua New Guinea,7526
LAE,Nadzab,Nadzab,Papua New Guinea,5431
POM,Port Moresby Jacksons Intl,Port Moresby,Papua New Guinea,1249
WWK,Wewak Intl,Wewak,Papua New Guinea,6189
UAK,Narsarsuaq,Narssarssuaq,Greenland,9600
GOH,Nuuk,Godthaab,Greenland,4441
SFJ,Sondre Stromfjord,Sondrestrom,Greenland,6284
THU,Thule Air Base,Thule,Greenland,8724
AEY,Akureyri,Akureyri,Iceland,3986
EGS,Egilsstadir,Egilsstadir,Iceland,1743
HFN,Hornafjordur,Hofn,Iceland,7714
HZK,Husavik,Husavik,Iceland,5790
IFJ,Isafjordur,Isafjordur,Iceland,5373
KEF,Keflavik International Airport,Keflavik,Iceland,8134
PFJ,Patreksfjordur,Patreksfjordur,Iceland,2257
RKV,Reykjavik,Reykjavik,Iceland,7524
SIJ,Siglufjordur,Siglufjordur,Iceland,8503
VEY,Vestmannaeyjar,Vestmannaeyjar,Iceland,4128
YAM,Sault Ste Marie,Sault Sainte Marie,Canada,5990
YAV,Winnipeg St Andrews,Winnipeg,Canada,1482
YAW,Shearwater,Halifax,Canada,5190
YAY,St Anthony,St. Anthony,Canada,9070
YAZ,Tofino,Tofino,Canada,7097
YBB,Kugaaruk,Pelly Bay,Canada,9417
YBC,Baie Comeau,Baie Comeau,Canada,4020
YBG,Bagotville,Bagotville,Canada,5956
YBK,Baker Lake,Baker Lake,Canada,9255
YBL,Campbell River,Campbell River,Canada,4149
YBR,Brandon Muni,Brandon,Canada,5291
YCB,Cambridge Bay,Cambridge Bay,Canada,3813
YCD,Nanaimo,Nanaimo,Canada,7500
YCG,Castlegar,Castlegar,Canada,46
YCH,Miramichi,Chatham,Canada,3519
YCL,Charlo,Charlo,Canada,4616
YCO,Kugluktuk,Coppermine,Canada,1757
YCT,Coronation,Coronation,Canada,3345
